poi1,poi2,cost
374,376,45858.23921
374,378,45697.49017
376,378,30649.79234
816,819,23358.99126
675,677,57987.07076
675,673,44034.86111
687,524,74379.30146
687,688,42745.74625
43,50,43313.28846
43,48,41221.64943
50,48,24138.45358
524,684,67064.19615
684,688,39144.68822
374,379,31626.45677
374,376,45858.23921
379,376,37068.18922
126,638,32616.83945
126,611,30787.57891
638,611,6101.905366
625,623,44178.15295
625,527,33763.71738
623,527,22951.78556
741,740,16959.38248
741,742,18984.76157
740,742,14637.28704
698,696,68410.79433
698,692,62513.244
696,692,47634.09761
275,240,24625.0277
275,272,38324.09374
240,272,33192.04729
684,626,61821.63068
684,686,34654.79159
626,686,46237.3329
790,672,67203.14966
790,673,78163.7948
672,673,40204.35049
814,816,39285.8609
814,677,48606.88664
626,680,34379.14191
626,686,46237.3329
680,686,27373.64234
377,373,45139.93437
377,576,33989.76048
373,576,26984.60886
701,700,43973.08199
701,696,62292.82005
700,696,38445.52517
796,794,60243.12458
796,787,48702.0574
794,787,42770.75255
697,694,37476.12725
697,700,17862.95731
694,700,26854.5386
746,741,31966.32059
746,744,19990.66696
741,744,28687.77762
616,623,39255.26499
616,625,24969.24689
623,625,44178.15295
701,697,32108.96862
701,700,43973.08199
697,700,17862.95731
528,524,53765.84596
528,687,53109.25775
524,687,74379.30146
797,672,42583.05852
797,790,38846.84814
672,790,67203.14966
244,135,46655.14796
244,235,19502.37809
135,235,43445.28208
240,244,26194.19398
240,235,19453.11525
244,235,19502.37809
740,504,23986.52758
740,377,26554.08358
504,377,26360.5303
698,701,37029.92471
698,696,68410.79433
701,696,62292.82005
379,791,34417.98354
379,376,37068.18922
791,376,37671.33043
788,789,47378.32251
788,796,27169.59696
789,796,43779.41618
377,374,46626.75759
377,373,45139.93437
374,373,24547.76646
789,794,55639.41531
789,796,43779.41618
794,796,60243.12458
820,396,63966.92589
820,819,46679.04567
244,242,32013.99209
244,135,46655.14796
242,135,37829.45352
670,677,46627.65138
670,675,22303.78199
677,675,57987.07076
135,239,53682.39544
135,138,43503.83467
239,138,46603.93522
743,741,30758.56219
743,746,27199.80288
741,746,31966.32059
611,612,30733.40834
611,616,26624.05434
612,616,30749.14808
241,242,23703.29555
241,244,14675.2052
242,244,32013.99209
746,745,38422.22053
746,743,27199.80288
745,743,13661.58616
372,791,29070.52425
372,379,22320.33183
791,379,34417.98354
792,797,77136.75684
792,790,57919.91228
797,790,38846.84814
694,285,50634.87389
694,280,33677.83689
285,280,27354.91773
41,745,54651.8855
41,746,39964.85421
745,746,38422.22053
43,39,44112.6703
43,50,43313.28846
39,50,38596.81801
280,275,39475.61302
280,272,38908.12876
275,272,38324.09374
679,670,17369.95018
679,675,13988.0627
670,675,22303.78199
697,285,37415.22105
697,694,37476.12725
285,694,50634.87389
623,528,43902.67817
623,527,22951.78556
528,527,37173.9112
791,789,42400.53282
791,788,27181.12543
789,788,47378.32251
239,139,51425.65384
239,138,46603.93522
